bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
3034170001,"3808438

3814046

3814051

3814050

3814049

3392663",575 Central Ave,11207,Multifamily Housing,0,2008,60357,1,5,114.1,,,4.23,Multifamily Home,,0,,68,,,,67,,,,
3014520077,3844310,1481 St. Marks Avenue,11233,Multifamily Housing,0,1994,56540,0,0,142,,,5.25,Multifamily Home,,0,,78,,,,77,,,,
3016370005,3341823,864 Gates Avenue,11221,Multifamily Housing,0,1994,70598,1,6,116.1,,,4.25,Multifamily Home,,0,,87,,,,86,,,,
2029400006,2009871,1680 Crotona Park East,10460,Multifamily Housing,0,1926,64300,1,6,160.5,,,6.31,Multifamily Home,,0,,106,,,,62,,,,
2029400072,2009884,819 East 173rd Street,10460,Multifamily Housing,0,1931,76800,1,6,123.9,,,5.89,Multifamily Home,"{'Multifamily Home': 66800.0, 'Retail': 10000.0}",0,,99,,,,81,,,,
1018440001,1055708,981 Columbus Avenue,10025,Multifamily Housing,0,1900,79340,8,5,126.3,,,5.35,Multifamily Home,"{'Multifamily Home': 66645.0, 'Retail': 12695.0}",0,578304.4,,7170378.59,,,68,,,,
3017960001,3050268,385 Throop Avenue,11221,Multifamily Housing,0,1997,73220,1,4,127.7,,,4.56,Multifamily Home,,0,,91,,,,91,,,,
2032710125,2116011,3815 Putnam Avenue,10463,Multifamily Housing,0,2000,98660,1,8,155.8,,,5.67,Multifamily Home,"{'Multifamily Home': 92155.0, 'Office': 6505.0, 'Parking': 12960.0}",0,2656152.41,167,6653432.26,,0.31,90,,,,
1009357501,1020634,350 East 30th Street,10016,Multifamily Housing,0,1956,68680,1,6,170.4,,,8.39,Multifamily Home,"{'Multifamily Home': 68680.0, 'Parking': 13736.0}",0,,147,,,,130,,,,
2067680054,3181240,1695 East 21st Street,11210,Multifamily Housing,0,1940,78840,,,88.8,,,3.41,,,,,,,,,,,,,
2032280001,2014984,1901 Loring Place,10453,Multifamily Housing,0,1925,65280,1,6,267,,,10.82,,,,,,,,,,,,,
1016217501,"1088766;1088295",1405 Fifth Avenue,10029,Multifamily Housing,0,2007,71951,1,8,182.4,,,6.98,Multifamily Home,"{'Multifamily Home': 61175.0, 'Retail': 7060.0, 'Other': 3716.0}",0,,,,,,34,,,,
2028790204,2009122,1893 Andrews Avenue South,10453,Multifamily Housing,0,1924,59500,1,5,210.6,,,7.78,Multifamily Home,"{'Multifamily Home': 56000.0, 'Retail': 3500.0}",0,1424793.2,110,5072954.55,,,59,,,,
1014050051,1042748,142 East 71st Street,10021,Multifamily Housing,0,1927,88829,1,11,179.7,,,7.74,,,,,,,,,,,,,
1015760005,1050765,505 East 79th Street,10075,Multifamily Housing,0,1963,246000,1,19,139.3,,,7.34,,,,,,,,,,,,,
3068000004,3183087,1718 Quentin Road,11229,Multifamily Housing,0,1941,64000,1,6,127.1,,,5.09,Multifamily Home,,0,660506.63,72,5199200,,,60,,,0,
3065120075,3170576,825 East 9th Street,11230,Multifamily Housing,0,1937,60000,1,6,124.7,,,4.9,Multifamily Home,,0,774886.56,48,4419600,,,54,,,0,
3068030001,3183192,2000 Quentin Road,11229,Multifamily Housing,0,1940,51000,1,6,140.1,,,5.6,Multifamily Home,,0,630474.02,54,4968400,,,48,,,0,
3065130001,3170577,1002 Avenue H,11230,Multifamily Housing,0,1938,66000,1,6,123.2,,,4.96,Multifamily Home,,0,735318.94,74,5233200,,,60,,,0,
1011960052,1031196,46 West 83rd Street,10024,Multifamily Housing,0,1911,56949,1,8,101.1,,,4.96,Multifamily Home,,0,,83,,,,60,,,,
